,51 =<,"=< 14 to 18, 26 to 50",19 to 25
Sedentary,1600.0,1800.0,2000.0
Protein (Cal),120.0,135.0,150.0
Carbohydrate (Cal),280.0,315.0,350.0
Fiber (gr),19.0,19.0,19.0
Total Sugar (Cal),64.0,72.0,80.0
Total lipid (Cal),160.0,180.0,200.0
Total Trans Fat (Cal),16.0,18.0,20.0
Total Saturated Fat (Cal),48.0,54.0,60.0
Cholesterol (mg),100.0,100.0,100.0
Calcium (mg),582.5,582.5,582.5
Iron (mg),10.0,10.0,10.0
"Sodium, (mg)",460.0,460.0,460.0
Vitamin A (mcg RAE),615.0,615.0,615.0
Vitamin C (mg),21.0,21.0,21.0
Calories per Meal,533.33,600.0,666.67
Nature's Table,0.07692307692307693,0.07692307692307693,0.07692307692307693
Taco Bueno,0.07500000000000001,0.07500000000000001,0.025
Einstein Bros. Bagels,0.034482758620689655,0.06896551724137931,0.06896551724137931
Blaze Pizza,0.08333333333333333,0.05555555555555555,0.0
Subway,0.037037037037037035,0.037037037037037035,0.037037037037037035
Rosa's Cafe,0.08333333333333333,0.0,0.0
Schlotzsky's,0.018518518518518517,0.037037037037037035,0.018518518518518517
Johnny Carino's,0.019230769230769232,0.019230769230769232,0.019230769230769232
Panera Bread,0.025,0.0,0.025
Saladworks,0.05,0.0,0.0
Pei Wei Asian Diner,0.05,0.0,0.0
In-N-Out Burger,0.05,0.0,0.0
McDonald's,0.02,0.02,0.0
McAlister's Deli,0.03333333333333333,0.0,0.0
Starbucks,0.020833333333333332,0.0,0.0
