,0,1,2
Moderately active,1800.0,2000.0,2200.0
Protein (Cal),135.0,150.0,165.0
Carbohydrate (Cal),315.0,350.0,385.0
Fiber (gr),19.0,19.0,19.0
Total Sugar (Cal),72.0,80.0,88.0
Total lipid (Cal),180.0,200.0,220.0
Total Trans Fat (Cal),18.0,20.0,22.0
Total Saturated Fat (Cal),54.0,60.0,66.0
Cholesterol (mg),100.0,100.0,100.0
Calcium (mg),582.5,582.5,582.5
Iron (mg),10.0,10.0,10.0
"Sodium, (mg)",460.0,460.0,460.0
Vitamin A (mcg RAE),615.0,615.0,615.0
Vitamin C (mg),21.0,21.0,21.0
Calories per Meal,600.0,666.6699999999997,733.33
Einstein Bros. Bagels,0.06896551724137931,0.06896551724137931,0.06896551724137931
Nature's Table,0.07692307692307693,0.07692307692307693,0.0
Taco Bueno,0.07500000000000001,0.025,0.025
Subway,0.037037037037037035,0.037037037037037035,0.0
Johnny Carino's,0.019230769230769232,0.019230769230769232,0.019230769230769232
Schlotzsky's,0.037037037037037035,0.018518518518518517,0.0
Blaze Pizza,0.05555555555555555,0.0,0.0
Panera Bread,0.0,0.025,0.025
McDonald's,0.02,0.0,0.0
