,AGE,Moderately active,Protein (Cal),Carbohydrate (Cal),Fiber (gr),Total Sugar (Cal),Total lipid (Cal),Total Trans Fat (Cal),Total Saturated Fat (Cal),Cholesterol (mg),Calcium (mg),Iron (mg),"Sodium, (mg)",Vitamin A (mcg RAE),Vitamin C (mg),Calories per Meal,CiCi's Pizza,Gatti's Pizza,Chuck E. Cheese's,Fogo De Chao Churrascaria,Little Caesars Pizza,Golden Corral,Extreme Pizza,Domino's,Saladworks,Papa John's,California Pizza Kitchen,Denny's,Blaze Pizza,Panera Bread,Peter Piper Pizza,Buca Di Beppo,La Madeleine,Olive Garden,BurgerFi,Uncle Julio's,In-N-Out Burger,Pizza Hut,BJ's Restaurants,Zoe's Kitchen,Corner Bakery Cafe,Wendy's,KFC,Buffalo Wild Wings,McAlister's Deli,Johnny Carino's,Salata,Jimmy John's,Burger King,Rosa's Cafe,Pollo Tropical,TGI Friday's,Applebee's,Pei Wei Asian Diner,Chili's,Which Wich,Schlotzsky's,Romano's Macaroni Grill,Chuy's,Culver's,McDonald's,Cheddar's Scratch Kitchen,LongHorn Steakhouse,HoneyBaked Ham,Newk's Eatery,Mod Pizza,Jack in the Box,Mimi's Cafe,Larry's Giant Subs,Five Guys,Smoothie King,Subway,IHOP,Einstein Bros. Bagels,Dairy Queen,Jamba Juice,Taco Bueno,Perkins Restaurant And Bakery,Papa Murphy's,Bill Miller Bar-B-Q,Shake Shack,Nature's Table,Arby's,Baskin Robbins,Sonic,Joe's Crab Shack,Frullati Cafe & Bakery,La Salsa Fresh Mexican Grill,Carl's Jr,Tropical Smoothie Cafe,Texas Roadhouse,Jersey Mike's Subs,Cheesecake Factory,Starbucks,Quizno's,Hooters,Whataburger,Redbrick Pizza,The Capital Grille,Doubledave's Pizzaworks
0,14,2400,180.0,420.0,19.0,96.0,240.0,24.0,72.0,100,582.5,10.0,460.0,615.0,21,800.0,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.8260869565217388,0.7857142857142855,0.7250000000000003,0.7058823529411765,0.7000000000000001,0.6666666666666665,0.6500000000000002,0.6190476190476194,0.5555555555555557,0.5500000000000002,0.53125,0.4999999999999999,0.4545454545454546,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.36666666666666664,0.3513513513513512,0.34782608695652173,0.325,0.31818181818181823,0.2727272727272727,0.31034482758620696,0.3,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.26666666666666666,0.21052631578947367,0.23529411764705885,0.2,0.2285714285714286,0.2,0.18518518518518517,0.175,0.18181818181818182,0.18181818181818182,0.18,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.15625,0.16666666666666666,0.16666666666666666,0.15000000000000002,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.047619047619047616,0.05,0.038461538461538464,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.023809523809523808,0.025,0.0,0.0
1,15,2600,195.0,455.0,19.0,104.0,260.0,26.0,78.0,100,582.5,10.0,460.0,615.0,21,866.67,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.8260869565217388,0.7857142857142855,0.7250000000000003,0.7058823529411765,0.7000000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.5833333333333335,0.5500000000000002,0.53125,0.4999999999999999,0.4545454545454546,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3513513513513512,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.26666666666666666,0.2631578947368421,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.18,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.15625,0.16666666666666666,0.16666666666666666,0.15000000000000002,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.07692307692307693,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.047619047619047616,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.023809523809523808,0.025,0.0,0.0
2,16,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
3,17,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
4,18,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
5,19,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
6,20,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
7,21,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
8,22,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
9,23,2800,210.0,490.0,19.0,112.0,280.0,28.0,84.0,100,582.5,10.0,460.0,615.0,21,933.33,1.0000000000000002,0.9999999999999996,0.8571428571428569,0.8571428571428569,0.869565217391304,0.8214285714285712,0.7500000000000003,0.7058823529411765,0.7500000000000001,0.6666666666666665,0.6750000000000003,0.6190476190476194,0.6111111111111113,0.5500000000000002,0.5625,0.4999999999999999,0.5454545454545455,0.42857142857142844,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.3833333333333333,0.3648648648648647,0.34782608695652173,0.325,0.31818181818181823,0.36363636363636365,0.34482758620689663,0.3333333333333333,0.3076923076923076,0.3,0.29411764705882354,0.2857142857142857,0.29166666666666663,0.3333333333333333,0.36842105263157887,0.23529411764705885,0.25,0.2285714285714286,0.2,0.18518518518518517,0.19999999999999998,0.18181818181818182,0.18181818181818182,0.19999999999999998,0.16666666666666666,0.16666666666666669,0.16666666666666666,0.16363636363636366,0.16129032258064516,0.16129032258064516,0.1875,0.16666666666666666,0.25,0.2,0.14814814814814814,0.15384615384615385,0.13793103448275862,0.13333333333333333,0.13043478260869565,0.125,0.11627906976744186,0.1111111111111111,0.10526315789473684,0.09090909090909091,0.15384615384615385,0.08333333333333333,0.08333333333333333,0.08108108108108109,0.08,0.06896551724137931,0.0625,0.06060606060606061,0.06060606060606061,0.09523809523809523,0.05,0.05128205128205128,0.041666666666666664,0.045454545454545456,0.034482758620689655,0.047619047619047616,0.025,0.09090909090909091,0.03225806451612903
