attr_id,2018 NFP,usda_tag,name,unit,notes,bulk_csv_field,cxh_attribute_name,
203,1,PROCNT,Protein,g,,nf_protein,PRO-,
204,1,FAT,Total lipid (fat),g,,nf_total_fat,FAT,
205,1,CHOCDF,"Carbohydrate, by difference",g,,nf_total_carbohydrate,CHO-,
207,0,ASH,Ash,g,,,,
208,1,ENERC_KCAL,Energy,kcal,,nf_calories,ENER-,
209,0,STARCH,Starch,g,,,,
210,0,SUCS,Sucrose,g,,,,
211,0,GLUS,Glucose (dextrose),g,,,,
212,0,FRUS,Fructose,g,,,,
213,0,LACS,Lactose,g,,,,
214,0,MALS,Maltose,g,,,,
221,0,ALC,"Alcohol, ethyl",g,,,,
255,0,WATER,Water,g,,,,
257,0,NULL,Adjusted Protein,g,,,,
262,0,CAFFN,Caffeine,mg,,,,
263,0,THEBRN,Theobromine,mg,,,,
268,0,ENERC_KJ,Energy,kJ,,,,
269,1,SUGAR,"Sugars, total",g,,nf_sugars,SUGAR-,
287,0,GALS,Galactose,g,,,,
291,1,FIBTG,"Fiber, total dietary",g,,nf_dietary_fiber,FIBTSW,
301,1,CA,"Calcium, Ca",mg,,nf_calcium_mg,,
303,1,FE,"Iron, Fe",mg,,,,
304,0,MG,"Magnesium, Mg",mg,,,,
305,0,P,"Phosphorus, P",mg,,,,
306,1,K,"Potassium, K",mg,,nf_potassium,,
307,1,NA,"Sodium, Na",mg,,nf_sodium,NA,
309,0,ZN,"Zinc, Zn",mg,,,,
312,0,CU,"Copper, Cu",mg,,,,
313,0,FLD,"Fluoride, F",Âµg,,,,
315,0,MN,"Manganese, Mn",mg,,,,
317,0,SE,"Selenium, Se",Âµg,,,,
318,0,VITA_IU,"Vitamin A, IU",IU,,,,
319,0,RETOL,Retinol,Âµg,,,,
320,0,VITA_RAE,"Vitamin A, RAE",Âµg,,,,
321,0,CARTB,"Carotene, beta",Âµg,,,,
322,0,CARTA,"Carotene, alpha",Âµg,,,,
323,0,TOCPHA,Vitamin E (alpha-tocopherol),mg,,,,
324,1,VITD,Vitamin D,IU,,nf_vitamin_d_mcg,,must transform MCG to IU
325,0,ERGCAL,Vitamin D2 (ergocalciferol),Âµg,,,,
326,0,CHOCAL,Vitamin D3 (cholecalciferol),Âµg,,,,
328,0,VITD,Vitamin D (D2 + D3),Âµg,,,,
334,0,CRYPX,"Cryptoxanthin, beta",Âµg,,,,
337,0,LYCPN,Lycopene,Âµg,,,,
338,0,LUT+ZEA,Lutein + zeaxanthin,Âµg,,,,
341,0,TOCPHB,"Tocopherol, beta",mg,,,,
342,0,TOCPHG,"Tocopherol, gamma",mg,,,,
343,0,TOCPHD,"Tocopherol, delta",mg,,,,
344,,TOCTRA,"Tocotrienol, alpha",mg,,,,
345,,TOCTRB,"Tocotrienol, beta",mg,,,,
346,,TOCTRG,"Tocotrienol, gamma",mg,,,,
347,,TOCTRD,"Tocotrienol,delta",mg,,,,
401,0,VITC,"Vitamin C, total ascorbic acid",mg,,,,
404,0,THIA,Thiamin,mg,,,,
405,0,RIBF,Riboflavin,mg,,,,
406,0,NIA,Niacin,mg,,,,
410,0,PANTAC,Pantothenic acid,mg,,,,
415,0,VITB6A,Vitamin B-6,mg,,,,
417,0,FOL,"Folate, total",Âµg,,,,
418,0,VITB12,Vitamin B-12,Âµg,,,,
421,0,CHOLN,"Choline, total",mg,,,,
428,0,MK4,Menaquinone-4,Âµg,,,,
429,0,VITK1D,Dihydrophylloquinone,Âµg,,,,
430,0,VITK1,Vitamin K (phylloquinone),Âµg,,,,
431,0,FOLAC,Folic acid,Âµg,,,,
432,0,FOLFD,"Folate, food",Âµg,,,,
435,0,FOLDFE,"Folate, DFE",Âµg,,,,
454,0,BETN,Betaine,mg,,,,
501,0,TRP_G,Tryptophan,g,,,,
502,0,THR_G,Threonine,g,,,,
503,0,ILE_G,Isoleucine,g,,,,
504,0,LEU_G,Leucine,g,,,,
505,0,LYS_G,Lysine,g,,,,
506,0,MET_G,Methionine,g,,,,
507,0,CYS_G,Cystine,g,,,,
508,0,PHE_G,Phenylalanine,g,,,,
509,0,TYR_G,Tyrosine,g,,,,
510,0,VAL_G,Valine,g,,,,
511,0,ARG_G,Arginine,g,,,,
512,0,HISTN_G,Histidine,g,,,,
513,0,ALA_G,Alanine,g,,,,
514,0,ASP_G,Aspartic acid,g,,,,
515,0,GLU_G,Glutamic acid,g,,,,
516,0,GLY_G,Glycine,g,,,,
517,0,PRO_G,Proline,g,,,,
518,0,SER_G,Serine,g,,,,
521,0,HYP,Hydroxyproline,g,,,,
539,1,SUGAR_ADD,"Sugars, added",g,,nf_added_sugars,SUGAD,
573,0,NULL,"Vitamin E, added",mg,,,,
578,0,NULL,"Vitamin B-12, added",Âµg,,,,
601,1,CHOLE,Cholesterol,mg,,nf_cholesterol,CHOL-,
605,1,FATRN,"Fatty acids, total trans",g,,nf_trans_fatty_acid,,
606,1,FASAT,"Fatty acids, total saturated",g,,nf_saturated_fat,FASAT,
607,0,F4D0,4:00,g,,,,
608,0,F6D0,6:00,g,,,,
609,0,F8D0,8:00,g,,,,
610,0,F10D0,10:00,g,,,,
611,0,F12D0,12:00,g,,,,
612,0,F14D0,14:00,g,,,,
613,0,F16D0,16:00,g,,,,
614,0,F18D0,18:00,g,,,,
615,0,F20D0,20:00,g,,,,
617,0,F18D1,18:1 undifferentiated,g,,,,
618,0,F18D2,18:2 undifferentiated,g,,,,
619,0,F18D3,18:3 undifferentiated,g,,,,
620,0,F20D4,20:4 undifferentiated,g,,,,
