Restaurant,Food_Name,Nutrients,Calories
Schlotzsky's,Kids Cheese Pizza,"[{'value': 18, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 78, 'attr_id': 205}, {'value': 540, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 960, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",540
Schlotzsky's,Kids Pepperoni Pizza,"[{'value': 20, 'attr_id': 203}, {'value': 22, 'attr_id': 204}, {'value': 78, 'attr_id': 205}, {'value': 590, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1160, 'attr_id': 307}, {'value': 40, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",590
Schlotzsky's,Pepperoni Double Cheese Pizza,"[{'value': 39, 'attr_id': 203}, {'value': 42, 'attr_id': 204}, {'value': 115, 'attr_id': 205}, {'value': 980, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 2000, 'attr_id': 307}, {'value': 95, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 18, 'attr_id': 606}]",980
Schlotzsky's,Double Cheese Pizza 10'',"[{'value': 33, 'attr_id': 203}, {'value': 35, 'attr_id': 204}, {'value': 118, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 2150, 'attr_id': 307}, {'value': 55, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",920
Schlotzsky's,Fresh Veggie Pizza 10'',"[{'value': 33, 'attr_id': 203}, {'value': 35, 'attr_id': 204}, {'value': 118, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 2150, 'attr_id': 307}, {'value': 55, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",920
Schlotzsky's,BBQ Chicken & Jalapeno Pizza,"[{'value': 46, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 148, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 19, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 2820, 'attr_id': 307}, {'value': 100, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",920
Schlotzsky's,Combination Special Pizza 10'',"[{'value': 35, 'attr_id': 203}, {'value': 38, 'attr_id': 204}, {'value': 119, 'attr_id': 205}, {'value': 960, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 2040, 'attr_id': 307}, {'value': 75, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 14, 'attr_id': 606}]",960
Schlotzsky's,Grilled Chicken Pesto Pizza 10'',"[{'value': 47, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 114, 'attr_id': 205}, {'value': 910, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 2060, 'attr_id': 307}, {'value': 95, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",910
Schlotzsky's,"Double Cheese Pizza 10'', Pick 2","[{'value': 16, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 420, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 670, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",420
Schlotzsky's,"Combination Special Pizza 10', Pick 2","[{'value': 18, 'attr_id': 203}, {'value': 19, 'attr_id': 204}, {'value': 60, 'attr_id': 205}, {'value': 480, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1020, 'attr_id': 307}, {'value': 40, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",480
Schlotzsky's,"Fresh Veggie Pizza 10'', Pick 2","[{'value': 17, 'attr_id': 203}, {'value': 48, 'attr_id': 204}, {'value': 59, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1080, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",460
Schlotzsky's,"BBQ Chicken & Jalapeno Pizza, Pick 2","[{'value': 23, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 74, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 10, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1410, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",460
Schlotzsky's,"Pepperoni Double Cheese Pizza, Pick 2","[{'value': 20, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 490, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1000, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",490
Schlotzsky's,"Grilled Chicken Pesto Pizza 10'', Pick 2","[{'value': 24, 'attr_id': 203}, {'value': 15, 'attr_id': 204}, {'value': 57, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1030, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",460
Schlotzsky's,Garden Salad Salad,"[{'value': 1, 'attr_id': 203}, {'value': 1.5, 'attr_id': 204}, {'value': 9, 'attr_id': 205}, {'value': 45, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 280, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",45
Schlotzsky's,"Garden Salad Salad, Pick 2","[{'value': 1, 'attr_id': 203}, {'value': 0.5, 'attr_id': 204}, {'value': 4, 'attr_id': 205}, {'value': 25, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 140, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",25
Schlotzsky's,Chicken Caesar Salad,"[{'value': 37, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 29, 'attr_id': 205}, {'value': 680, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 1770, 'attr_id': 307}, {'value': 100, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",680
Schlotzsky's,Southwestern Chicken Salad,"[{'value': 46, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 44, 'attr_id': 205}, {'value': 600, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 8, 'attr_id': 291}, {'value': 1260, 'attr_id': 307}, {'value': 120, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",600
