,Restaurant,Food_Name,Nutrients,Calories
0,Gatti's Pizza,"Burger Thin Crust Pizza, Large","[{'value': 12, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 21, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 700, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",220
1,Gatti's Pizza,"Burger Original Crust Pizza, Large","[{'value': 14, 'attr_id': 203}, {'value': 9, 'attr_id': 204}, {'value': 37, 'attr_id': 205}, {'value': 290, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 690, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",290
2,Gatti's Pizza,"Burger Perfect Pan Crust Pizza, Large","[{'value': 17, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 39, 'attr_id': 205}, {'value': 370, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 750, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 15, 'attr_id': 401}, {'value': 35, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",370
3,Gatti's Pizza,"Spicy Burger Thin Crust Pizza, Large","[{'value': 12, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 230, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 650, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",230
4,Gatti's Pizza,"Spicy Burger Original Crust Pizza, Large","[{'value': 14, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 37, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 650, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",300
5,Gatti's Pizza,"Spicy Burger Perfect Pan Crust Pizza, Large","[{'value': 17, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 39, 'attr_id': 205}, {'value': 380, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 710, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 15, 'attr_id': 401}, {'value': 35, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",380
6,Waffle House,Angus Hamburger Deluxe,"[{'value': 19, 'attr_id': 203}, {'value': 41, 'attr_id': 204}, {'value': 29, 'attr_id': 205}, {'value': 570, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 550, 'attr_id': 307}, {'value': 60, 'attr_id': 601}, {'value': 2, 'attr_id': 605}, {'value': 16, 'attr_id': 606}]",570
7,Waffle House,Original (2oz) Angus Hamburger,"[{'value': 12, 'attr_id': 203}, {'value': 33, 'attr_id': 204}, {'value': 30, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 520, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 12, 'attr_id': 606}]",460
8,Denny's,"Build Your Own Burger, Mayo","[{'value': 0, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 0, 'attr_id': 205}, {'value': 100, 'attr_id': 208}, {'value': 0, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 75, 'attr_id': 307}, {'value': 5, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",100
9,Denny's,"Build Your Own Burger, Tomato","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 5, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 0, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",5
