,Restaurant,Food_Name,Nutrients,Calories
0,Subway,Tuna Salad,"[{'value': 15, 'attr_id': 203}, {'value': 24, 'attr_id': 204}, {'value': 11, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 78, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 380, 'attr_id': 307}, {'value': 2500, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 40, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",310
1,Subway,Egg Salad,"[{'value': 8, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 1, 'attr_id': 205}, {'value': 250, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 52, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 170, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 255, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",250
2,Subway,Chicken Salad,"[{'value': 11, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 7, 'attr_id': 205}, {'value': 140, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 0.36, 'attr_id': 303}, {'value': 380, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 45, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",140
3,Subway,Meatball Marinara Salad,"[{'value': 15, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 27, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 12, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 790, 'attr_id': 307}, {'value': 3500, 'attr_id': 318}, {'value': 36, 'attr_id': 401}, {'value': 40, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",310
4,Subway,Ranch Salad Dressing,"[{'value': 0, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 400, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 10, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",220
5,Subway,Roast Beef Salad,"[{'value': 19, 'attr_id': 203}, {'value': 3.5, 'attr_id': 204}, {'value': 12, 'attr_id': 205}, {'value': 140, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 78, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 460, 'attr_id': 307}, {'value': 2500, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 45, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1, 'attr_id': 606}]",140
6,Subway,Spicy Italian Salad,"[{'value': 14, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 13, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 104, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 1290, 'attr_id': 307}, {'value': 2500, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 50, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",310
7,Subway,Orchard Chicken Salad,"[{'value': 12, 'attr_id': 203}, {'value': 5, 'attr_id': 204}, {'value': 10, 'attr_id': 205}, {'value': 140, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 250, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 40, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",140
8,Subway,Turkey Breast Salad,"[{'value': 12, 'attr_id': 203}, {'value': 2, 'attr_id': 204}, {'value': 13, 'attr_id': 205}, {'value': 110, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 78, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 560, 'attr_id': 307}, {'value': 2500, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0.5, 'attr_id': 606}]",110
9,Subway,Italian B.M.T. Salad,"[{'value': 14, 'attr_id': 203}, {'value': 15, 'attr_id': 204}, {'value': 13, 'attr_id': 205}, {'value': 230, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 78, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 1060, 'attr_id': 307}, {'value': 2500, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 45, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",230
10,Subway,Steak & Cheese Salad,"[{'value': 20, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 16, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 830, 'attr_id': 307}, {'value': 3000, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",210
