,Restaurant,Food_Name,Nutrients,Calories
0,Auntie Anne's,"Mango Smoothie, 32 fl oz","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 41, 'attr_id': 205}, {'value': 470, 'attr_id': 208}, {'value': 115, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0.36, 'attr_id': 303}, {'value': 5, 'attr_id': 307}, {'value': 5000, 'attr_id': 318}, {'value': 48, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",470
1,Auntie Anne's,"Strawberry Smoothie, 16 fl oz","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 53, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 51, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 65, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 54, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",220
2,Auntie Anne's,"Strawberry Smoothie, 20 fl oz","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 71, 'attr_id': 205}, {'value': 290, 'attr_id': 208}, {'value': 69, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 90, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 72, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",290
3,Auntie Anne's,"Mango Smoothie, 16 fl oz","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 20, 'attr_id': 205}, {'value': 230, 'attr_id': 208}, {'value': 58, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 0, 'attr_id': 307}, {'value': 2500, 'attr_id': 318}, {'value': 24, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",230
4,Auntie Anne's,"Strawberry Smoothie, 32 fl oz","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 107, 'attr_id': 205}, {'value': 440, 'attr_id': 208}, {'value': 103, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 52, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 135, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 102, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",440
5,Auntie Anne's,"Mango Smoothie, 20 fl oz","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 27, 'attr_id': 205}, {'value': 310, 'attr_id': 208}, {'value': 77, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0.36, 'attr_id': 303}, {'value': 0, 'attr_id': 307}, {'value': 3500, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",310
6,Auntie Anne's,"Strawberry-Banana Smoothie, 32 fl oz","[{'value': 2, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 109, 'attr_id': 205}, {'value': 440, 'attr_id': 208}, {'value': 103, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 78, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 15, 'attr_id': 307}, {'value': 100, 'attr_id': 318}, {'value': 84, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",440
7,Auntie Anne's,"Pina Colada Smoothie, 20 fl oz","[{'value': 1, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 81, 'attr_id': 205}, {'value': 390, 'attr_id': 208}, {'value': 77, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 55, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 18, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",390
8,Auntie Anne's,"Pina Colada Smoothie, 32 fl oz","[{'value': 2, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 121, 'attr_id': 205}, {'value': 590, 'attr_id': 208}, {'value': 116, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 52, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 80, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 30, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",590
9,Auntie Anne's,"Wild Berry Smoothie, 16 fl oz","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 57, 'attr_id': 205}, {'value': 230, 'attr_id': 208}, {'value': 54, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 10, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 36, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",230
