,Restaurant,Food_Name,Nutrients,Calories
0,Starbucks,Cubano Sandwich,"[{'value': 21, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 34, 'attr_id': 205}, {'value': 430, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 1140, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 60, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",430
1,Starbucks,Egg Salad Sandwich,"[{'value': 16, 'attr_id': 203}, {'value': 27, 'attr_id': 204}, {'value': 42, 'attr_id': 205}, {'value': 480, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 104, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 860, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 320, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",480
2,Starbucks,Chicken Caprese Sandwich,"[{'value': 28, 'attr_id': 203}, {'value': 18, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 890, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 65, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",500
3,Starbucks,Turkey & Havarti Sandwich,"[{'value': 29, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 31, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 940, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 6, 'attr_id': 401}, {'value': 80, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",460
4,Starbucks,Chicken BLT Salad Sandwich,"[{'value': 21, 'attr_id': 203}, {'value': 25, 'attr_id': 204}, {'value': 35, 'attr_id': 205}, {'value': 470, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 890, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 60, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4.5, 'attr_id': 606}]",470
5,Starbucks,Seared Steak & Cheddar Sandwich,"[{'value': 23, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 44, 'attr_id': 205}, {'value': 530, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 1120, 'attr_id': 307}, {'value': 500, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 80, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",530
6,Starbucks,"Almond Butter, Strawberries & Jam Sandwich","[{'value': 19, 'attr_id': 203}, {'value': 25, 'attr_id': 204}, {'value': 80, 'attr_id': 205}, {'value': 600, 'attr_id': 208}, {'value': 26, 'attr_id': 269}, {'value': 10, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 4.5, 'attr_id': 303}, {'value': 480, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 27, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2.5, 'attr_id': 606}]",600
7,Starbucks,Honey BBQ Sriracha Chicken Sandwich,"[{'value': 22, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 52, 'attr_id': 205}, {'value': 360, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 1040, 'attr_id': 307}, {'value': 200, 'attr_id': 318}, {'value': 2.4, 'attr_id': 401}, {'value': 45, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1.5, 'attr_id': 606}]",360
8,Starbucks,"Sausage, Cheddar & Egg Breakfast Sandwich","[{'value': 15, 'attr_id': 203}, {'value': 28, 'attr_id': 204}, {'value': 41, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 455, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 920, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 165, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",500
9,Starbucks,"Bacon, Gouda & Egg Breakfast Sandwich","[{'value': 18, 'attr_id': 203}, {'value': 19, 'attr_id': 204}, {'value': 32, 'attr_id': 205}, {'value': 370, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 850, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 165, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",370
10,Starbucks,Roasted Turkey & Dill Havarti Sandwich,"[{'value': 32, 'attr_id': 203}, {'value': 32, 'attr_id': 204}, {'value': 47, 'attr_id': 205}, {'value': 600, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 455, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 1160, 'attr_id': 307}, {'value': 500, 'attr_id': 318}, {'value': 3.6, 'attr_id': 401}, {'value': 65, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",600
11,Starbucks,Burrata & Basil Pesto Small Sandwich,"[{'value': 11, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 34, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 540, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 66, 'attr_id': 401}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",300
12,Starbucks,Chicken & Double-Smoked Bacon Sandwich,"[{'value': 31, 'attr_id': 203}, {'value': 26, 'attr_id': 204}, {'value': 65, 'attr_id': 205}, {'value': 620, 'attr_id': 208}, {'value': 11, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 1460, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 110, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",620
13,Starbucks,Certified Gluten-Free Breakfast Sandwich,"[{'value': 18, 'attr_id': 203}, {'value': 13, 'attr_id': 204}, {'value': 18, 'attr_id': 205}, {'value': 280, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 740, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 165, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",280
14,Starbucks,Smoked Mozzarella & Roasted Pepper Sandwich,"[{'value': 18, 'attr_id': 203}, {'value': 28, 'attr_id': 204}, {'value': 46, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 455, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 990, 'attr_id': 307}, {'value': 3000, 'attr_id': 318}, {'value': 48, 'attr_id': 401}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",500
15,Starbucks,Herbed Chicken & Fig Spread Small Sandwich,"[{'value': 19, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 43, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 9, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 720, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 45, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",300
16,Starbucks,Reduced-Fat Turkey Bacon Breakfast Sandwich,"[{'value': 18, 'attr_id': 203}, {'value': 5, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 0, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 560, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",210
