,Restaurant,Food_Name,Nutrients,Calories
0,Schlotzsky's,"Ham Burrito, Whole","[{'value': 29, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 44, 'attr_id': 205}, {'value': 490, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1700, 'attr_id': 307}, {'value': 265, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",490
1,Schlotzsky's,"Ham Burrito, Half","[{'value': 14, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 240, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 850, 'attr_id': 307}, {'value': 130, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",240
2,Schlotzsky's,"Sausage Burrito, Half","[{'value': 15, 'attr_id': 203}, {'value': 15, 'attr_id': 204}, {'value': 21, 'attr_id': 205}, {'value': 280, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 590, 'attr_id': 307}, {'value': 145, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",280
3,Schlotzsky's,"Sausage Burrito, Whole","[{'value': 29, 'attr_id': 203}, {'value': 31, 'attr_id': 204}, {'value': 41, 'attr_id': 205}, {'value': 570, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1180, 'attr_id': 307}, {'value': 290, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",570
4,Schlotzsky's,"Bacon Burrito, Half","[{'value': 11, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 21, 'attr_id': 205}, {'value': 230, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 530, 'attr_id': 307}, {'value': 120, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",230
5,Schlotzsky's,"Veggie Burrito, Half","[{'value': 10, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 440, 'attr_id': 307}, {'value': 115, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",210
6,Schlotzsky's,"Veggie Burrito, Whole","[{'value': 19, 'attr_id': 203}, {'value': 19, 'attr_id': 204}, {'value': 44, 'attr_id': 205}, {'value': 430, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 880, 'attr_id': 307}, {'value': 235, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",430
7,Schlotzsky's,"Bacon Burrito, Whole","[{'value': 22, 'attr_id': 203}, {'value': 22, 'attr_id': 204}, {'value': 41, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1060, 'attr_id': 307}, {'value': 240, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",460
8,Burger King,Egg-Normous Burrito,"[{'value': 38, 'attr_id': 203}, {'value': 57, 'attr_id': 204}, {'value': 68, 'attr_id': 205}, {'value': 940, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 2460, 'attr_id': 307}, {'value': 375, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 20, 'attr_id': 606}]",940
9,Burger King,"Sausage, Egg, Cheese & Hash Brown Burrito","[{'value': 15, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 27, 'attr_id': 205}, {'value': 370, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 930, 'attr_id': 307}, {'value': 150, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",370
