,Restaurant,Food_Name,Nutrients,Calories
0,Subway,Cheese Pizza,"[{'value': 28, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 97, 'attr_id': 205}, {'value': 720, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 520, 'attr_id': 301}, {'value': 7.2, 'attr_id': 303}, {'value': 1530, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 50, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",720
1,Subway,Sausage Pizza,"[{'value': 35, 'attr_id': 203}, {'value': 35, 'attr_id': 204}, {'value': 98, 'attr_id': 205}, {'value': 860, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 650, 'attr_id': 301}, {'value': 7.2, 'attr_id': 303}, {'value': 1870, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 80, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 14, 'attr_id': 606}]",860
2,Subway,Meatball Pizza,"[{'value': 37, 'attr_id': 203}, {'value': 33, 'attr_id': 204}, {'value': 100, 'attr_id': 205}, {'value': 860, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 650, 'attr_id': 301}, {'value': 8.1, 'attr_id': 303}, {'value': 1840, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 80, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 14, 'attr_id': 606}]",860
3,Subway,Pepperoni Pizza,"[{'value': 35, 'attr_id': 203}, {'value': 33, 'attr_id': 204}, {'value': 97, 'attr_id': 205}, {'value': 840, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 650, 'attr_id': 301}, {'value': 7.2, 'attr_id': 303}, {'value': 1800, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 70, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",840
4,Subway,Bacon Pizza,"[{'value': 37, 'attr_id': 203}, {'value': 31, 'attr_id': 204}, {'value': 98, 'attr_id': 205}, {'value': 840, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 650, 'attr_id': 301}, {'value': 7.2, 'attr_id': 303}, {'value': 2060, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 70, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 12, 'attr_id': 606}]",840
5,Subway,Footlong Pizza Sub Melt,"[{'value': 40, 'attr_id': 203}, {'value': 48, 'attr_id': 204}, {'value': 98, 'attr_id': 205}, {'value': 980, 'attr_id': 208}, {'value': 18, 'attr_id': 269}, {'value': 10, 'attr_id': 291}, {'value': 520, 'attr_id': 301}, {'value': 5.4, 'attr_id': 303}, {'value': 3280, 'attr_id': 307}, {'value': 1500, 'attr_id': 318}, {'value': 18, 'attr_id': 401}, {'value': 110, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 20, 'attr_id': 606}]",980
6,Subway,6 inch Pizza Sub Melt,"[{'value': 20, 'attr_id': 203}, {'value': 24, 'attr_id': 204}, {'value': 49, 'attr_id': 205}, {'value': 490, 'attr_id': 208}, {'value': 9, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 1640, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 9, 'attr_id': 401}, {'value': 55, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",490
7,Auntie Anne's,Personal Pepperoni Pretzel Pizza,"[{'value': 25, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 95, 'attr_id': 205}, {'value': 700, 'attr_id': 208}, {'value': 16, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 390, 'attr_id': 301}, {'value': 1.44, 'attr_id': 303}, {'value': 1280, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 55, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",700
8,Auntie Anne's,Personal Cheese Pretzel Pizza,"[{'value': 21, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 95, 'attr_id': 205}, {'value': 600, 'attr_id': 208}, {'value': 16, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 390, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 910, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 35, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",600
9,Schlotzsky's,Kids Cheese Pizza,"[{'value': 18, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 78, 'attr_id': 205}, {'value': 540, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 960, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",540
10,Schlotzsky's,Kids Pepperoni Pizza,"[{'value': 20, 'attr_id': 203}, {'value': 22, 'attr_id': 204}, {'value': 78, 'attr_id': 205}, {'value': 590, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1160, 'attr_id': 307}, {'value': 40, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",590
11,Schlotzsky's,Pepperoni Double Cheese Pizza,"[{'value': 39, 'attr_id': 203}, {'value': 42, 'attr_id': 204}, {'value': 115, 'attr_id': 205}, {'value': 980, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 2000, 'attr_id': 307}, {'value': 95, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 18, 'attr_id': 606}]",980
12,Schlotzsky's,Double Cheese Pizza 10'',"[{'value': 33, 'attr_id': 203}, {'value': 35, 'attr_id': 204}, {'value': 118, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 2150, 'attr_id': 307}, {'value': 55, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",920
13,Schlotzsky's,Fresh Veggie Pizza 10'',"[{'value': 33, 'attr_id': 203}, {'value': 35, 'attr_id': 204}, {'value': 118, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 2150, 'attr_id': 307}, {'value': 55, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",920
14,Schlotzsky's,BBQ Chicken & Jalapeno Pizza,"[{'value': 46, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 148, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 19, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 2820, 'attr_id': 307}, {'value': 100, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",920
15,Schlotzsky's,Combination Special Pizza 10'',"[{'value': 35, 'attr_id': 203}, {'value': 38, 'attr_id': 204}, {'value': 119, 'attr_id': 205}, {'value': 960, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 2040, 'attr_id': 307}, {'value': 75, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 14, 'attr_id': 606}]",960
16,Schlotzsky's,Grilled Chicken Pesto Pizza 10'',"[{'value': 47, 'attr_id': 203}, {'value': 29, 'attr_id': 204}, {'value': 114, 'attr_id': 205}, {'value': 910, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 2060, 'attr_id': 307}, {'value': 95, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",910
17,Schlotzsky's,"Double Cheese Pizza 10'', Pick 2","[{'value': 16, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 420, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 670, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",420
18,Schlotzsky's,"Combination Special Pizza 10', Pick 2","[{'value': 18, 'attr_id': 203}, {'value': 19, 'attr_id': 204}, {'value': 60, 'attr_id': 205}, {'value': 480, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1020, 'attr_id': 307}, {'value': 40, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",480
19,Schlotzsky's,"Fresh Veggie Pizza 10'', Pick 2","[{'value': 17, 'attr_id': 203}, {'value': 48, 'attr_id': 204}, {'value': 59, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 1080, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",460
20,Schlotzsky's,"BBQ Chicken & Jalapeno Pizza, Pick 2","[{'value': 23, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 74, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 10, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1410, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",460
21,Schlotzsky's,"Pepperoni Double Cheese Pizza, Pick 2","[{'value': 20, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 490, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1000, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",490
22,Schlotzsky's,"Grilled Chicken Pesto Pizza 10'', Pick 2","[{'value': 24, 'attr_id': 203}, {'value': 15, 'attr_id': 204}, {'value': 57, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1030, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",460
23,Gatti's Pizza,"Burger Thin Crust Pizza, Large","[{'value': 12, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 21, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 700, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",220
24,Gatti's Pizza,"Cheese Thin Crust Pizza, Large","[{'value': 11, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 20, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 530, 'attr_id': 307}, {'value': 400, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",210
25,Gatti's Pizza,"Supperoni Thin Crust Pizza, Large","[{'value': 8, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 11, 'attr_id': 205}, {'value': 160, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 0, 'attr_id': 303}, {'value': 360, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",160
26,Gatti's Pizza,"Bacon Thin Crust Pizza, Large","[{'value': 12, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 20, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 630, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",220
27,Gatti's Pizza,"Deluxe Original Crust Pizza, Large","[{'value': 9, 'attr_id': 203}, {'value': 6, 'attr_id': 204}, {'value': 25, 'attr_id': 205}, {'value': 200, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 440, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 15, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3, 'attr_id': 606}]",200
28,Gatti's Pizza,"Pepperoni Original Crust Pizza, Large","[{'value': 12, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 35, 'attr_id': 205}, {'value': 290, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 570, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 1.2, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",290
29,Gatti's Pizza,"Pepperoni Thin Crust Pizza, Large","[{'value': 10, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 20, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 580, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 4.8, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",220
