,Restaurant,Food_Name,Nutrients,Calories
0,Auntie Anne's,"Breakfast Pretzel Sandwich, Egg & Cheese","[{'value': 13, 'attr_id': 203}, {'value': 8, 'attr_id': 204}, {'value': 29, 'attr_id': 205}, {'value': 240, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 640, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 80, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",240
1,Auntie Anne's,"Breakfast Pretzel Sandwich, Bacon, Egg, & Cheese","[{'value': 16, 'attr_id': 203}, {'value': 12, 'attr_id': 204}, {'value': 29, 'attr_id': 205}, {'value': 300, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 260, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 850, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 90, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",300
2,Auntie Anne's,"Breakfast Pretzel Sandwich, Sausage, Egg, & Cheese","[{'value': 20, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 29, 'attr_id': 205}, {'value': 390, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 950, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 0, 'attr_id': 401}, {'value': 110, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",390
3,Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Medium","[{'value': 20, 'attr_id': 203}, {'value': 14, 'attr_id': 204}, {'value': 74, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1050, 'attr_id': 307}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",500
4,Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Small","[{'value': 14, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 48, 'attr_id': 205}, {'value': 340, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 690, 'attr_id': 307}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",340
5,Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Large","[{'value': 38, 'attr_id': 203}, {'value': 28, 'attr_id': 204}, {'value': 148, 'attr_id': 205}, {'value': 1010, 'attr_id': 208}, {'value': 10, 'attr_id': 269}, {'value': 8, 'attr_id': 291}, {'value': 1940, 'attr_id': 307}, {'value': 60, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",1010
6,Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Pick 2","[{'value': 10, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 37, 'attr_id': 205}, {'value': 250, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 530, 'attr_id': 307}, {'value': 15, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",250
7,Schlotzsky's,Kids Ham Sandwich,"[{'value': 11, 'attr_id': 203}, {'value': 2, 'attr_id': 204}, {'value': 40, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 650, 'attr_id': 307}, {'value': 15, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",220
8,Schlotzsky's,French Dip Sandwich,"[{'value': 40, 'attr_id': 203}, {'value': 22, 'attr_id': 204}, {'value': 59, 'attr_id': 205}, {'value': 670, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1630, 'attr_id': 307}, {'value': 90, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",670
9,Schlotzsky's,Kids Turkey Sandwich,"[{'value': 10, 'attr_id': 203}, {'value': 1.5, 'attr_id': 204}, {'value': 40, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 550, 'attr_id': 307}, {'value': 10, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",220
