,Unnamed: 0,name,brand_id,fs_id,address,address2,city,state,country,zip,phone,website,guide,id,lat,lng,created_at,updated_at,distance_km
0,0,Jimmy John's,513fbc1283aa2dc80c000054,,"515 Congress Avenue #120, Austin",,Austin,Texas,US,78701,15124574900.0,http://www.jimmyjohns.com/,"<p><b>Slim Subs</b></p><p><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);"">Skip the high calorie Giant Club Sandwiches and go for a Plain Slim instead. Your best bets are the Slim Roast Beef and Slim Turkey Breast which clock in with less than 500 calories each. Ask them to add lettuce and tomato to add an (almost) calorie free crunch. Plain Slims too plain? Try the Big John or Turkey Tom subs for only about 50-100 calories more.</span><br/></p><p><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><b>The Unwich</b></span></p><p><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);"">Cut even more calories (and carbs!) by ordering your sub as an Unwich. They'll swap the bread for a lettuce wrap, saving you 280 calories.</span><br/></span></p><p><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><b>Smart Side</b></span></span></p><p><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);""><span style=""color: rgb(34, 34, 34);background-color: rgb(255, 255, 255);"">Gotta have chips with that sandwich? A bag of Thinny Jimmy Chips will only add 130 calories to your meal.</span><br/></span></span></p>",842851,30.26725006103516,-97.74311065673828,2017-06-26T21:59:46.000Z,2018-01-19T23:33:02.000Z,0.005658310662633096
1,1,Blaze Pizza,521b95434a56d006cae2970c,,14009 N RESEARCH BLVD,,Austin,TX,US,78717,15125183619.0,http://www.blazepizza.com/,,2369543,30.2675895690918,-97.74298858642578,2017-08-20T14:17:48.000Z,2017-08-20T14:17:48.000Z,0.0446160969190443
2,2,Starbucks,513fbc1283aa2dc80c00001f,,600 CONGRESS AVE,,Austin,TX,US,78701,15124990250.0,http://www.starbucks.com,"<p><b id=""docs-internal-guid-825ed8d2-82fe-2196-a809-a535cba9006f""></b></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);background-color: transparent;"">Caffeine is a morning necessity for millions worldwide. If you’re not a fan of drinking your coffee black or espresso straight, try these suggestions to skim calories, fat, and sugar from your beverage of choice.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Make your latte “skinny”</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Lose the whip and substitute nonfat milk  in your latte to cut fat and calories. Lose the sugary syrups and pump up the flavor with the sugar-free versions instead. </span><span style=""color: #000000;background-color: transparent;""><br class=""kix-line-break""/></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Downsize</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">If you can't resist that Caramel Macchiato or Vanilla Latte, stick to a modest Tall or Short size to indulge for fewer calories.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Snack smart</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">For a healthy breakfast on-the-go, try the Whole-Grain Oatmeal, Reduced-Fat Turkey Bacon Breakfast Sandwich, or the Spinach &amp; Feta Breakfast Wrap. Looking for a snack? Satisfy your sweet tooth with seasonal fruit or a Greek yogurt parfait.  If you need something a bit more substantial to battle the afternoon hunger, try the Protein Bistro Box.</span></p>",842810,30.26814079284668,-97.74279022216795,2017-06-26T21:59:46.000Z,2017-08-20T14:07:47.000Z,0.10875759407972636
3,3,The Capital Grille,569eb7064c054b485d362578,,117 W 4th St,,Austin,TX,US,78701,15123222005.0,http://www.thecapitalgrille.com,,2024558,30.26644325256348,-97.7445297241211,2017-07-14T18:43:16.000Z,2018-03-12T11:58:04.000Z,0.16104407781201918
4,4,Starbucks,513fbc1283aa2dc80c00001f,,301 W 3RD ST,,Austin,TX,US,78701,15123911895.0,http://www.starbucks.com,"<p><b id=""docs-internal-guid-825ed8d2-82fe-2196-a809-a535cba9006f""></b></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);background-color: transparent;"">Caffeine is a morning necessity for millions worldwide. If you’re not a fan of drinking your coffee black or espresso straight, try these suggestions to skim calories, fat, and sugar from your beverage of choice.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Make your latte “skinny”</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Lose the whip and substitute nonfat milk  in your latte to cut fat and calories. Lose the sugary syrups and pump up the flavor with the sugar-free versions instead. </span><span style=""color: #000000;background-color: transparent;""><br class=""kix-line-break""/></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Downsize</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">If you can't resist that Caramel Macchiato or Vanilla Latte, stick to a modest Tall or Short size to indulge for fewer calories.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Snack smart</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">For a healthy breakfast on-the-go, try the Whole-Grain Oatmeal, Reduced-Fat Turkey Bacon Breakfast Sandwich, or the Spinach &amp; Feta Breakfast Wrap. Looking for a snack? Satisfy your sweet tooth with seasonal fruit or a Greek yogurt parfait.  If you need something a bit more substantial to battle the afternoon hunger, try the Protein Bistro Box.</span></p>",788847,30.26925277709961,-97.74335479736328,2017-06-26T21:53:32.000Z,2017-08-20T14:06:41.000Z,0.229566476794144
5,5,Uncle Julio's,57ab44445cc70a501c84a007,,"301 Brazos Street #150, Austin",,Austin,Texas,US,78701,15128152100.0,http://www.unclejulios.com,,841607,30.265125274658203,-97.74221801757812,2017-06-26T21:59:38.000Z,2018-05-05T16:48:02.000Z,0.2457580607454229
6,6,Chipotle,513fbc1283aa2dc80c000002,,"801 Congress Avenue, Austin",,Austin,Texas,US,78701,15123911668.0,http://www.chipotle.com,"<p><b>Toss the tortilla</b></p><p>Skip the 320-calorie flour tortilla in that Burrito and opt for a Burrito Bowl instead. You'll save another 200 calories if you lose the rice and swap the Bowl for a Salad. Or strike a balance: ask for a  Bowl with half lettuce and half rice.</p><p><b>Steak is supreme</b></p><p>It may come as a surprise, but the 150-calorie Steak has fewer calories and less saturated fat than any other meat option at Chipotle. Second best? The 180-calorie Chicken. Or skip the meat altogether and go for the 150-calorie tofu Sofritas instead (but be aware: you'll get 1/3 the protein of the meat options). </p><p><b>Toppings</b></p><p>If you're getting rice, make it brown. Load up on fiber-rich fajita vegetables, beans, and fresh tomato salsa. Go easy on the higher calorie toppings like cheese, sour cream, and guacamole, which add 100-230 calories a pop.</p><p><br/></p>",796932,30.26997947692871,-97.74208068847656,2017-06-26T21:54:34.000Z,2018-08-12T02:58:00.000Z,0.3241908999283102
7,7,Subway,513fbc1283aa2dc80c000005,,"809 Congress Ave, Austin",,Austin,Texas,US,78701,15124809102.0,http://www.subway.com,"<p><b id=""docs-internal-guid-6dd52ca7-83bb-38fc-ff7e-f8009bd649c2""></b></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway is a great place for a protein rich meal on the go. If you follow some of these tips you will satisfy your sandwich craving with a big nutritional punch!</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Pile on the veggies</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Subway lets you add as many veggies as you want at no additional charge! This is a great way to add more nutrients to your sandwich.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Go light on the spreads</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose light mayo or skip mayo all together and save 50-100 calories. Add some zest with mustard or honey mustard instead.</span></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);""><b>Choose sweets carefully</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: #ffffff;"">Choose apples or a yogurt parfait instead of cookies if you're looking for a sweet ending to your meal.</span></p>",795131,30.27004432678223,-97.74205780029295,2017-06-26T21:54:19.000Z,2018-01-19T23:33:04.000Z,0.331731620201952
8,8,Chipotle,513fbc1283aa2dc80c000002,5aabf7a2c58ed74dce246dc9,801 Congress Ave Ste 100,,Austin,TX,US,78701,,http://www.chipotle.com,"<p><b>Toss the tortilla</b></p><p>Skip the 320-calorie flour tortilla in that Burrito and opt for a Burrito Bowl instead. You'll save another 200 calories if you lose the rice and swap the Bowl for a Salad. Or strike a balance: ask for a  Bowl with half lettuce and half rice.</p><p><b>Steak is supreme</b></p><p>It may come as a surprise, but the 150-calorie Steak has fewer calories and less saturated fat than any other meat option at Chipotle. Second best? The 180-calorie Chicken. Or skip the meat altogether and go for the 150-calorie tofu Sofritas instead (but be aware: you'll get 1/3 the protein of the meat options). </p><p><b>Toppings</b></p><p>If you're getting rice, make it brown. Load up on fiber-rich fajita vegetables, beans, and fresh tomato salsa. Go easy on the higher calorie toppings like cheese, sour cream, and guacamole, which add 100-230 calories a pop.</p><p><br/></p>",2390408,30.26993560791016,-97.74166870117188,2017-11-08T17:32:56.000Z,2020-06-13T17:30:55.000Z,0.333798359103525
9,9,Starbucks,513fbc1283aa2dc80c00001f,,300 E 4TH ST,,Austin,TX,US,78701,15122368008.0,http://www.starbucks.com,"<p><b id=""docs-internal-guid-825ed8d2-82fe-2196-a809-a535cba9006f""></b></p><p dir=""ltr""><span style=""color: rgb(0, 0, 0);background-color: transparent;"">Caffeine is a morning necessity for millions worldwide. If you’re not a fan of drinking your coffee black or espresso straight, try these suggestions to skim calories, fat, and sugar from your beverage of choice.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Make your latte “skinny”</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">Lose the whip and substitute nonfat milk  in your latte to cut fat and calories. Lose the sugary syrups and pump up the flavor with the sugar-free versions instead. </span><span style=""color: #000000;background-color: transparent;""><br class=""kix-line-break""/></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Downsize</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">If you can't resist that Caramel Macchiato or Vanilla Latte, stick to a modest Tall or Short size to indulge for fewer calories.</span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;""><b>Snack smart</b></span></p><p dir=""ltr""><span style=""color: #000000;background-color: transparent;"">For a healthy breakfast on-the-go, try the Whole-Grain Oatmeal, Reduced-Fat Turkey Bacon Breakfast Sandwich, or the Spinach &amp; Feta Breakfast Wrap. Looking for a snack? Satisfy your sweet tooth with seasonal fruit or a Greek yogurt parfait.  If you need something a bit more substantial to battle the afternoon hunger, try the Protein Bistro Box.</span></p>",791090,30.270000457763672,-97.74061584472656,2017-06-26T21:53:47.000Z,2017-08-20T14:06:13.000Z,0.3922733667897134
