,Restaurant,Food_Name,Nutrients,Calories
0,Subway,Tomato Basil Soup,"[{'value': 4, 'attr_id': 203}, {'value': 6, 'attr_id': 204}, {'value': 15, 'attr_id': 205}, {'value': 130, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 700, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 12, 'attr_id': 401}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",130
1,Subway,Broccoli Cheddar Soup,"[{'value': 5, 'attr_id': 203}, {'value': 9, 'attr_id': 204}, {'value': 18, 'attr_id': 205}, {'value': 170, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 195, 'attr_id': 301}, {'value': 0.36, 'attr_id': 303}, {'value': 630, 'attr_id': 307}, {'value': 1250, 'attr_id': 318}, {'value': 18, 'attr_id': 401}, {'value': 25, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",170
2,Subway,Black Bean Soup,"[{'value': 12, 'attr_id': 203}, {'value': 1, 'attr_id': 204}, {'value': 39, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 15, 'attr_id': 291}, {'value': 130, 'attr_id': 301}, {'value': 2.7, 'attr_id': 303}, {'value': 860, 'attr_id': 307}, {'value': 0, 'attr_id': 318}, {'value': 2.4, 'attr_id': 401}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",210
3,Subway,French Onion Soup,"[{'value': 5, 'attr_id': 203}, {'value': 6, 'attr_id': 204}, {'value': 19, 'attr_id': 205}, {'value': 150, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 325, 'attr_id': 301}, {'value': 0.36, 'attr_id': 303}, {'value': 940, 'attr_id': 307}, {'value': 5500, 'attr_id': 318}, {'value': 18, 'attr_id': 401}, {'value': 15, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",150
4,Subway,Spicy Chicken Tortilla Soup,"[{'value': 6, 'attr_id': 203}, {'value': 4.5, 'attr_id': 204}, {'value': 12, 'attr_id': 205}, {'value': 110, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 104, 'attr_id': 301}, {'value': 1.8, 'attr_id': 303}, {'value': 660, 'attr_id': 307}, {'value': 500, 'attr_id': 318}, {'value': 21, 'attr_id': 401}, {'value': 10, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1, 'attr_id': 606}]",110
5,Subway,Creamy Chicken & Dumplings Soup,"[{'value': 8, 'attr_id': 203}, {'value': 4.5, 'attr_id': 204}, {'value': 20, 'attr_id': 205}, {'value': 150, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 52, 'attr_id': 301}, {'value': 1.08, 'attr_id': 303}, {'value': 740, 'attr_id': 307}, {'value': 1000, 'attr_id': 318}, {'value': 6, 'attr_id': 401}, {'value': 35, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2, 'attr_id': 606}]",150
6,Subway,Homestyle Chicken Noodle Soup,"[{'value': 8, 'attr_id': 203}, {'value': 3, 'attr_id': 204}, {'value': 14, 'attr_id': 205}, {'value': 110, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 26, 'attr_id': 301}, {'value': 0.72, 'attr_id': 303}, {'value': 720, 'attr_id': 307}, {'value': 750, 'attr_id': 318}, {'value': 6, 'attr_id': 401}, {'value': 30, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1.5, 'attr_id': 606}]",110
7,Subway,Creamy Chicken & Wild Rice Soup,"[{'value': 7, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 16, 'attr_id': 205}, {'value': 190, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 78, 'attr_id': 301}, {'value': 0.36, 'attr_id': 303}, {'value': 820, 'attr_id': 307}, {'value': 1500, 'attr_id': 318}, {'value': 6, 'attr_id': 401}, {'value': 40, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 6, 'attr_id': 606}]",190
8,Subway,Beef Chili with Beans Soup,"[{'value': 21, 'attr_id': 203}, {'value': 22, 'attr_id': 204}, {'value': 20, 'attr_id': 205}, {'value': 360, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 104, 'attr_id': 301}, {'value': 3.6, 'attr_id': 303}, {'value': 800, 'attr_id': 307}, {'value': 4000, 'attr_id': 318}, {'value': 12, 'attr_id': 401}, {'value': 70, 'attr_id': 601}, {'value': 1.5, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",360
9,Subway,Loaded Baked Potato with Bacon Soup,"[{'value': 5, 'attr_id': 203}, {'value': 13, 'attr_id': 204}, {'value': 15, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 78, 'attr_id': 301}, {'value': 0.36, 'attr_id': 303}, {'value': 800, 'attr_id': 307}, {'value': 300, 'attr_id': 318}, {'value': 2.4, 'attr_id': 401}, {'value': 35, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",210
10,Schlotzsky's,Garden Vegetable Soup,"[{'value': 3, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 110, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 830, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",110
